"","cbsa","cma_cbsa_name","complex"
"1","41940","San Jose-Sunnyvale-Santa Clara, CA",1
"2","12420","Austin-Round Rock, TX",0.775543906
"3","41860","San Francisco-Oakland-Hayward, CA",0.761257279
"4","41740","San Diego-Carlsbad, CA",0.700168821
"5","14460","Boston-Cambridge-Newton, MA-NH",0.634912529
"6","15540","Burlington-South Burlington, VT",0.613465503
"7","14260","Boise City, ID",0.590971769
"8","35620","New York-Newark-Jersey City, NY-NJ-PA",0.575225667
"9","38900","Portland-Vancouver-Hillsboro, OR-WA",0.567338013
"10","40140","Riverside-San Bernardino-Ontario, CA",0.544435406
"11","42100","Santa Cruz-Watsonville, CA",0.5312064
"12","19100","Dallas-Fort Worth-Arlington, TX",0.525231587
"13","47900","Washington-Arlington-Alexandria, DC-VA-MD-WV",0.521343862
"14","14500","Boulder, CO",0.512318634
"15","42660","Seattle-Tacoma-Bellevue, WA",0.501372117
"16","40340","Rochester, MN",0.501346857
"17","20500","Durham-Chapel Hill, NC",0.498707607
"18","31080","Los Angeles-Long Beach-Anaheim, CA",0.497078278
"19","45940","Trenton, NJ",0.477383665
"20","40380","Rochester, NY",0.475683995
"21","18700","Corvallis, OR",0.473831227
"22","25500","Harrisonburg, VA",0.469740049
"23","39580","Raleigh, NC",0.463540516
"24","10740","Albuquerque, NM",0.442902885
"25","42200","Santa Maria-Santa Barbara, CA",0.441391589
"26","17820","Colorado Springs, CO",0.429539775
"27","49340","Worcester, MA-CT",0.425742078
"28","16580","Champaign-Urbana, IL",0.422730823
"29","16940","Cheyenne, WY",0.421674079
"30","16300","Cedar Rapids, IA",0.418905293
"31","28740","Kingston, NY",0.414044366
"32","10580","Albany-Schenectady-Troy, NY",0.413732245
"33","23540","Gainesville, FL",0.399185656
"34","38060","Phoenix-Mesa-Scottsdale, AZ",0.399014263
"35","46060","Tucson, AZ",0.395474035
"36","27060","Ithaca, NY",0.393586488
"37","22660","Fort Collins, CO",0.391916303
"38","12060","Atlanta-Sandy Springs-Roswell, GA",0.388585307
"39","37980","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",0.386137137
"40","28140","Kansas City, MO-KS",0.379913329
"41","12580","Baltimore-Columbia-Towson, MD",0.368136979
"42","37100","Oxnard-Thousand Oaks-Ventura, CA",0.36364619
"43","40900","Sacramento--Roseville--Arden-Arcade, CA",0.361280354
"44","31700","Manchester-Nashua, NH",0.359569456
"45","14860","Bridgeport-Stamford-Norwalk, CT",0.356999592
"46","41500","Salinas, CA",0.350565805
"47","42220","Santa Rosa, CA",0.3455448
"48","26420","Houston-The Woodlands-Sugar Land, TX",0.345057963
"49","13780","Binghamton, NY",0.338904675
"50","44700","Stockton-Lodi, CA",0.336919717
"51","25980","Hinesville, GA",0.327032338
"52","45300","Tampa-St. Petersburg-Clearwater, FL",0.325497748
"53","25540","Hartford-West Hartford-East Hartford, CT",0.32313483
"54","42140","Santa Fe, NM",0.323088802
"55","37340","Palm Bay-Melbourne-Titusville, FL",0.322643672
"56","19180","Danville, IL",0.319785087
"57","19740","Denver-Aurora-Lakewood, CO",0.319178468
"58","17780","College Station-Bryan, TX",0.31742997
"59","16980","Chicago-Naperville-Elgin, IL-IN-WI",0.31732311
"60","28420","Kennewick-Richland, WA",0.315446527
"61","33460","Minneapolis-St. Paul-Bloomington, MN-WI",0.315363347
"62","36740","Orlando-Kissimmee-Sanford, FL",0.312850846
"63","24660","Greensboro-High Point, NC",0.311518281
"64","38300","Pittsburgh, PA",0.310597298
"65","10900","Allentown-Bethlehem-Easton, PA-NJ",0.307884762
"66","38860","Portland-South Portland, ME",0.307334634
"67","26620","Huntsville, AL",0.305122676
"68","16820","Charlottesville, VA",0.303525112
"69","39300","Providence-Warwick, RI-MA",0.302347561
"70","14740","Bremerton-Silverdale, WA",0.30091418
"71","39900","Reno, NV",0.300202655
"72","27980","Kahului-Wailuku-Lahaina, HI",0.299323104
"73","39340","Provo-Orem, UT",0.298580527
"74","29940","Lawrence, KS",0.298461036
"75","33100","Miami-Fort Lauderdale-West Palm Beach, FL",0.297206624
"76","12220","Auburn-Opelika, AL",0.297070154
"77","34060","Morgantown, WV",0.296505223
"78","29200","Lafayette-West Lafayette, IN",0.291173182
"79","45060","Syracuse, NY",0.290011247
"80","31540","Madison, WI",0.288843287
"81","35300","New Haven-Milford, CT",0.287122001
"82","41700","San Antonio-New Braunfels, TX",0.286749029
"83","22380","Flagstaff, AZ",0.285980656
"84","41180","St. Louis, MO-IL",0.28569939
"85","44300","State College, PA",0.285678544
"86","29820","Las Vegas-Henderson-Paradise, NV",0.28545093
"87","13980","Blacksburg-Christiansburg-Radford, VA",0.282883722
"88","41620","Salt Lake City, UT",0.279325182
"89","42680","Sebastian-Vero Beach, FL",0.279154985
"90","28940","Knoxville, TN",0.278392362
"91","30460","Lexington-Fayette, KY",0.277139145
"92","27740","Johnson City, TN",0.275081385
"93","21660","Eugene, OR",0.2716818
"94","49180","Winston-Salem, NC",0.271486999
"95","29740","Las Cruces, NM",0.270959717
"96","38540","Pocatello, ID",0.270909203
"97","42020","San Luis Obispo-Paso Robles-Arroyo Grande, CA",0.270450072
"98","17140","Cincinnati, OH-KY-IN",0.270113725
"99","31460","Madera, CA",0.270109386
"100","28700","Kingsport-Bristol-Bristol, TN-VA",0.268331882
"101","31340","Lynchburg, VA",0.264231222
"102","19060","Cumberland, MD-WV",0.264214905
"103","24540","Greeley, CO",0.263033186
"104","44420","Staunton-Waynesboro, VA",0.262932409
"105","36500","Olympia-Tumwater, WA",0.262073141
"106","17900","Columbia, SC",0.261511904
"107","19380","Dayton, OH",0.260942784
"108","15380","Buffalo-Cheektowaga-Niagara Falls, NY",0.260876076
"109","12700","Barnstable Town, MA",0.260540274
"110","30340","Lewiston-Auburn, ME",0.260164042
"111","16180","Carson City, NV",0.259526824
"112","46540","Utica-Rome, NY",0.257966798
"113","21820","Fairbanks, AK",0.256744124
"114","10540","Albany, OR",0.256317117
"115","15680","California-Lexington Park, MD",0.255075736
"116","22220","Fayetteville-Springdale-Rogers, AR-MO",0.254890574
"117","16740","Charlotte-Concord-Gastonia, NC-SC",0.25440414
"118","36100","Ocala, FL",0.253907843
"119","43300","Sherman-Denison, TX",0.251467058
"120","11500","Anniston-Oxford-Jacksonville, AL",0.25013152
"121","33700","Modesto, CA",0.249524671
"122","40220","Roanoke, VA",0.248614644
"123","26820","Idaho Falls, ID",0.247672866
"124","44140","Springfield, MA",0.246645339
"125","12020","Athens-Clarke County, GA",0.245379179
"126","30140","Lebanon, PA",0.24439429
"127","13460","Bend-Redmond, OR",0.244287409
"128","21300","Elmira, NY",0.243386241
"129","48260","Weirton-Steubenville, WV-OH",0.241163631
"130","12540","Bakersfield, CA",0.240588
"131","14020","Bloomington, IN",0.239911321
"132","17460","Cleveland-Elyria, OH",0.23987007
"133","44180","Springfield, MO",0.238871144
"134","25860","Hickory-Lenoir-Morganton, NC",0.235877212
"135","35380","New Orleans-Metairie, LA",0.234393613
"136","46700","Vallejo-Fairfield, CA",0.23360108
"137","10420","Akron, OH",0.23279528
"138","33860","Montgomery, AL",0.231467194
"139","23420","Fresno, CA",0.231275695
"140","32900","Merced, CA",0.231148202
"141","34980","Nashville-Davidson--Murfreesboro--Franklin, TN",0.230921024
"142","26900","Indianapolis-Carmel-Anderson, IN",0.230744908
"143","39660","Rapid City, SD",0.230359573
"144","19820","Detroit-Warren-Dearborn, MI",0.229673474
"145","41100","St. George, UT",0.229664646
"146","47300","Visalia-Porterville, CA",0.229645019
"147","46220","Tuscaloosa, AL",0.228558698
"148","40060","Richmond, VA",0.228267974
"149","48900","Wilmington, NC",0.227386289
"150","44060","Spokane-Spokane Valley, WA",0.226901565
"151","17860","Columbia, MO",0.226802353
"152","11100","Amarillo, TX",0.226302221
"153","46520","Urban Honolulu, HI",0.22627985
"154","47260","Virginia Beach-Norfolk-Newport News, VA-NC",0.225931732
"155","34820","Myrtle Beach-Conway-North Myrtle Beach, SC-NC",0.225270953
"156","39380","Pueblo, CO",0.225191859
"157","24860","Greenville-Anderson-Mauldin, SC",0.223763828
"158","19660","Deltona-Daytona Beach-Ormond Beach, FL",0.223694386
"159","38940","Port St. Lucie, FL",0.222568579
"160","33340","Milwaukee-Waukesha-West Allis, WI",0.222128245
"161","38340","Pittsfield, MA",0.221821807
"162","24020","Glens Falls, NY",0.22145336
"163","22520","Florence-Muscle Shoals, AL",0.220623288
"164","41420","Salem, OR",0.220213884
"165","25420","Harrisburg-Carlisle, PA",0.219481735
"166","36220","Odessa, TX",0.218908011
"167","13820","Birmingham-Hoover, AL",0.218520506
"168","41660","San Angelo, TX",0.218035336
"169","11180","Ames, IA",0.217499543
"170","17980","Columbus, GA-AL",0.217115115
"171","29020","Kokomo, IN",0.216486477
"172","19460","Decatur, AL",0.216463671
"173","27260","Jacksonville, FL",0.21636084
"174","39460","Punta Gorda, FL",0.215771269
"175","32820","Memphis, TN-MS-AR",0.215725628
"176","19140","Dalton, GA",0.214081556
"177","19300","Daphne-Fairhope-Foley, AL",0.213688351
"178","42540","Scranton--Wilkes-Barre--Hazleton, PA",0.213680125
"179","34900","Napa, CA",0.212433787
"180","24220","Grand Forks, ND-MN",0.211366065
"181","34620","Muncie, IN",0.21055379
"182","23900","Gettysburg, PA",0.210508989
"183","30860","Logan, UT-ID",0.209706991
"184","41540","Salisbury, MD-DE",0.209641885
"185","16700","Charleston-North Charleston, SC",0.209135777
"186","28660","Killeen-Temple, TX",0.208346582
"187","46340","Tyler, TX",0.206718318
"188","45220","Tallahassee, FL",0.204392781
"189","31020","Longview, WA",0.2037047
"190","12100","Atlantic City-Hammonton, NJ",0.203286526
"191","48300","Wenatchee, WA",0.202904677
"192","33740","Monroe, LA",0.200552705
"193","31140","Louisville/Jefferson County, KY-IN",0.199193054
"194","21340","El Paso, TX",0.199003814
"195","12940","Baton Rouge, LA",0.198873686
"196","32580","McAllen-Edinburg-Mission, TX",0.196380582
"197","36260","Ogden-Clearfield, UT",0.195831478
"198","12620","Bangor, ME",0.194948235
"199","30300","Lewiston, ID-WA",0.194819166
"200","11460","Ann Arbor, MI",0.193964968
"201","39740","Reading, PA",0.193402998
"202","31180","Lubbock, TX",0.193040214
"203","17300","Clarksville, TN-KY",0.193003499
"204","26980","Iowa City, IA",0.192741206
"205","20700","East Stroudsburg, PA",0.191793008
"206","46140","Tulsa, OK",0.191410989
"207","43780","South Bend-Mishawaka, IN-MI",0.191320328
"208","43900","Spartanburg, SC",0.190676722
"209","41140","St. Joseph, MO-KS",0.189028729
"210","49620","York-Hanover, PA",0.18794452
"211","25940","Hilton Head Island-Bluffton-Beaufort, SC",0.187625222
"212","18140","Columbus, OH",0.185703849
"213","37620","Parkersburg-Vienna, WV",0.185541143
"214","17660","Coeur d'Alene, ID",0.18436594
"215","23460","Gadsden, AL",0.183252345
"216","36420","Oklahoma City, OK",0.182937159
"217","23580","Gainesville, GA",0.182757
"218","37460","Panama City, FL",0.182669767
"219","15980","Cape Coral-Fort Myers, FL",0.181649804
"220","45780","Toledo, OH",0.180963307
"221","47220","Vineland-Bridgeton, NJ",0.180101062
"222","13220","Beckley, WV",0.17992671
"223","22180","Fayetteville, NC",0.17966
"224","12260","Augusta-Richmond County, GA-SC",0.179354178
"225","30700","Lincoln, NE",0.176512606
"226","17420","Cleveland, TN",0.176207256
"227","30780","Little Rock-North Little Rock-Conway, AR",0.175424329
"228","29540","Lancaster, PA",0.174746964
"229","25620","Hattiesburg, MS",0.174419614
"230","29180","Lafayette, LA",0.173728866
"231","33660","Mobile, AL",0.172146578
"232","35840","North Port-Sarasota-Bradenton, FL",0.172146125
"233","20260","Duluth, MN-WI",0.171847066
"234","11260","Anchorage, AK",0.17176677
"235","35980","Norwich-New London, CT",0.171340872
"236","29620","Lansing-East Lansing, MI",0.171139038
"237","20100","Dover, DE",0.170956479
"238","31860","Mankato-North Mankato, MN",0.170740659
"239","27140","Jackson, MS",0.170428903
"240","34940","Naples-Immokalee-Marco Island, FL",0.170266934
"241","24260","Grand Island, NE",0.169301587
"242","36540","Omaha-Council Bluffs, NE-IA",0.168735325
"243","27900","Joplin, MO",0.168507842
"244","36140","Ocean City, NJ",0.168415075
"245","49700","Yuba City, CA",0.168272004
"246","37860","Pensacola-Ferry Pass-Brent, FL",0.167839412
"247","16860","Chattanooga, TN-GA",0.167764964
"248","26140","Homosassa Springs, FL",0.167763108
"249","24340","Grand Rapids-Wyoming, MI",0.167531051
"250","26580","Huntington-Ashland, WV-KY-OH",0.167464759
"251","48540","Wheeling, WV-OH",0.167348505
"252","39820","Redding, CA",0.166566176
"253","15940","Canton-Massillon, OH",0.166527776
"254","17020","Chico, CA",0.165798198
"255","49020","Winchester, VA-WV",0.165129344
"256","14010","Bloomington, IL",0.164419174
"257","16620","Charleston, WV",0.164148656
"258","16060","Carbondale-Marion, IL",0.162330556
"259","29460","Lakeland-Winter Haven, FL",0.162089519
"260","20740","Eau Claire, WI",0.160480111
"261","32780","Medford, OR",0.160141004
"262","25260","Hanford-Corcoran, CA",0.15860069
"263","35100","New Bern, NC",0.157727916
"264","41060","St. Cloud, MN",0.157583597
"265","42340","Savannah, GA",0.155377027
"266","31420","Macon, GA",0.155174382
"267","28020","Kalamazoo-Portage, MI",0.154448703
"268","39540","Racine, WI",0.154439948
"269","11700","Asheville, NC",0.152687172
"270","13380","Bellingham, WA",0.152429407
"271","39140","Prescott, AZ",0.152176918
"272","49420","Yakima, WA",0.151930486
"273","45820","Topeka, KS",0.151892129
"274","40420","Rockford, IL",0.150013847
"275","36780","Oshkosh-Neenah, WI",0.150000995
"276","33540","Missoula, MT",0.149066647
"277","13020","Bay City, MI",0.148910347
"278","14540","Bowling Green, KY",0.148468296
"279","49660","Youngstown-Warren-Boardman, OH-PA",0.147855462
"280","24500","Great Falls, MT",0.146189555
"281","45500","Texarkana, TX-AR",0.146123153
"282","11540","Appleton, WI",0.146050156
"283","28100","Kankakee, IL",0.145506872
"284","14100","Bloomsburg-Berwick, PA",0.143752546
"285","27500","Janesville-Beloit, WI",0.142922653
"286","15180","Brownsville-Harlingen, TX",0.142884541
"287","19500","Decatur, IL",0.142425271
"288","43420","Sierra Vista-Douglas, AZ",0.140793371
"289","44940","Sumter, SC",0.138956842
"290","29420","Lake Havasu City-Kingman, AZ",0.138327668
"291","19780","Des Moines-West Des Moines, IA",0.13814282
"292","27780","Johnstown, PA",0.13800735
"293","43340","Shreveport-Bossier City, LA",0.136801383
"294","34580","Mount Vernon-Anacortes, WA",0.134931124
"295","23060","Fort Wayne, IN",0.134538641
"296","30980","Longview, TX",0.134070791
"297","10500","Albany, GA",0.133937407
"298","48620","Wichita, KS",0.133892918
"299","30020","Lawton, OK",0.133163162
"300","31740","Manhattan, KS",0.132336136
"301","15500","Burlington, NC",0.132239581
"302","29100","La Crosse-Onalaska, WI-MN",0.131095088
"303","43620","Sioux Falls, SD",0.130891713
"304","24300","Grand Junction, CO",0.129648534
"305","20940","El Centro, CA",0.12892935
"306","44220","Springfield, OH",0.1289046
"307","40660","Rome, GA",0.128740737
"308","48700","Williamsport, PA",0.128403801
"309","33220","Midland, MI",0.128021075
