cbsa_code,cbsa_name,year,tot_lic,lg_lic,sm_lic,st_lic,inc_lic,tot_IP,tot_st,instate_st
35620,"New York-Newark-Jersey City, NY-NJ-PA",2013,326,102,98,36,447621788,1020,38,15
35620,"New York-Newark-Jersey City, NY-NJ-PA",2014,369,154,156,59,474905920,1046,53,25
35620,"New York-Newark-Jersey City, NY-NJ-PA",2015,351,118,164,69,511801812,997,63,16
35620,"New York-Newark-Jersey City, NY-NJ-PA",2016,357,125,166,66,392015090,1067,59,27
35620,"New York-Newark-Jersey City, NY-NJ-PA",2017,299,97,128,74,225321468,958,51,11
36100,"Ocala, FL",2006,73,19,43,11,42900000,260,10,9
36100,"Ocala, FL",2007,74,13,42,19,48035273,327,9,6
36100,"Ocala, FL",2008,75,12,51,12,52252469,299,14,8
36100,"Ocala, FL",2009,115,9,88,18,53880476,304,10,6
36100,"Ocala, FL",2010,92,14,64,14,29235006,295,9,5
36100,"Ocala, FL",2011,131,24,92,15,29493522,322,12,7
36100,"Ocala, FL",2012,129,16,89,24,33922249,345,15,10
36100,"Ocala, FL",2013,140,40,68,32,28067988,335,16,6
36100,"Ocala, FL",2014,147,36,76,35,32865349,352,16,15
36100,"Ocala, FL",2015,261,16,217,28,32972356,337,15,13
36100,"Ocala, FL",2016,293,21,252,20,44569084,321,17,7
36100,"Ocala, FL",2017,257,22,214,21,41600839,331,11,5
36420,"Oklahoma City, OK",2006,18,3,6,9,1596325,101,6,6
36420,"Oklahoma City, OK",2007,9,2,5,2,1455329,93,3,1
36420,"Oklahoma City, OK",2008,12,1,8,3,1537317,115,3,2
36420,"Oklahoma City, OK",2009,22,4,13,5,1896381,100,8,7
36420,"Oklahoma City, OK",2010,12,0,6,6,1871880,91,3,3
36420,"Oklahoma City, OK",2011,21,3,10,8,2543712,115,4,3
36420,"Oklahoma City, OK",2012,14,3,6,5,3600230,104,6,6
36420,"Oklahoma City, OK",2013,19,3,9,7,3409783,126,3,3
36420,"Oklahoma City, OK",2014,17,7,7,3,5402155,108,3,3
36420,"Oklahoma City, OK",2015,22,7,9,6,4265456,112,5,4
36420,"Oklahoma City, OK",2016,17,6,5,6,3518230,110,5,4
36420,"Oklahoma City, OK",2017,26,3,15,8,9695715,129,7,7
36540,"Omaha-Council Bluffs, NE-IA",2006,5,2,2,1,352785,17,1,0
36540,"Omaha-Council Bluffs, NE-IA",2014,1,0,0,1,12331,8,1,1
36540,"Omaha-Council Bluffs, NE-IA",2015,2,1,1,0,57202,8,0,0
36540,"Omaha-Council Bluffs, NE-IA",2016,2,1,1,1,23078,7,0,0
36740,"Orlando-Kissimmee-Sanford, FL",2006,17,4,6,4,730398,114,4,2
36740,"Orlando-Kissimmee-Sanford, FL",2007,8,2,1,5,1226758,106,3,1
36740,"Orlando-Kissimmee-Sanford, FL",2008,8,1,5,2,327176,93,2,2
36740,"Orlando-Kissimmee-Sanford, FL",2009,5,1,1,3,640008,83,3,1
36740,"Orlando-Kissimmee-Sanford, FL",2010,13,3,4,6,647482,96,6,6
36740,"Orlando-Kissimmee-Sanford, FL",2011,11,2,7,2,500966,109,2,1
36740,"Orlando-Kissimmee-Sanford, FL",2012,10,2,3,5,1009000,126,5,3
36740,"Orlando-Kissimmee-Sanford, FL",2013,17,2,12,3,797883,124,3,2
36740,"Orlando-Kissimmee-Sanford, FL",2014,23,7,8,8,1072103,98,8,6
36740,"Orlando-Kissimmee-Sanford, FL",2015,38,5,19,14,1582117,98,14,8
36740,"Orlando-Kissimmee-Sanford, FL",2016,34,7,18,9,1828311,99,9,8
36740,"Orlando-Kissimmee-Sanford, FL",2017,40,19,16,5,3435592,100,1,1
36830,"Othello, WA",2006,22,13,9,0,724431,70,0,0
36830,"Othello, WA",2007,28,12,14,2,1004315,58,0,0
36830,"Othello, WA",2008,15,6,5,4,1010047,55,2,2
36830,"Othello, WA",2009,16,6,9,1,906027,53,2,1
36830,"Othello, WA",2010,10,2,6,2,616781,59,2,1
36830,"Othello, WA",2011,33,4,26,3,548439,61,4,3
36830,"Othello, WA",2012,34,1,27,6,631963,64,6,5
36830,"Othello, WA",2013,50,7,37,6,590856,66,4,2
36830,"Othello, WA",2014,75,26,44,5,985785,103,5,3
36830,"Othello, WA",2015,72,16,47,9,1255399,113,9,8
36830,"Othello, WA",2016,85,12,66,7,1955051,126,7,6
36830,"Othello, WA",2017,51,13,29,9,2284872,136,12,9
37060,"Oxford, MS",2006,9,1,5,3,1535111,21,2,2
37060,"Oxford, MS",2007,2,1,1,0,1503647,21,1,1
37060,"Oxford, MS",2008,6,0,2,4,81173,6,3,1
37060,"Oxford, MS",2009,6,0,2,4,81173,6,3,1
37060,"Oxford, MS",2010,3,0,1,2,110883,9,2,2
37060,"Oxford, MS",2011,3,0,2,1,271744,10,0,1
37060,"Oxford, MS",2012,3,0,2,1,107400,12,1,1
37060,"Oxford, MS",2013,3,0,1,2,74831,1,2,2
37060,"Oxford, MS",2014,1,0,0,1,918711,13,0,0
37060,"Oxford, MS",2015,13,0,3,10,459865,9,2,0
37060,"Oxford, MS",2016,4,0,0,4,11919246,17,0,0
37060,"Oxford, MS",2017,1,0,0,1,402304,15,0,0
37340,"Palm Bay-Melbourne-Titusville, FL",2006,1,0,0,0,66342,3,0,0
37340,"Palm Bay-Melbourne-Titusville, FL",2007,1,1,0,0,69908,5,0,0
37860,"Pensacola-Ferry Pass-Brent, FL",2006,1,0,1,0,0,0,0,0
37860,"Pensacola-Ferry Pass-Brent, FL",2007,0,0,0,0,0,3,0,0
37860,"Pensacola-Ferry Pass-Brent, FL",2008,1,0,1,0,0,3,0,0
37860,"Pensacola-Ferry Pass-Brent, FL",2009,0,0,0,0,0,3,0,0
37860,"Pensacola-Ferry Pass-Brent, FL",2010,0,0,0,0,0,1,0,0
37860,"Pensacola-Ferry Pass-Brent, FL",2011,2,0,2,0,0,3,0,0
37860,"Pensacola-Ferry Pass-Brent, FL",2012,1,0,1,0,0,1,0,0
37860,"Pensacola-Ferry Pass-Brent, FL",2014,2,1,1,0,7220,2,0,0
37860,"Pensacola-Ferry Pass-Brent, FL",2015,0,0,0,0,808,3,0,0
37860,"Pensacola-Ferry Pass-Brent, FL",2016,0,0,0,0,1044,0,0,0
37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",2006,45,14,23,8,9726949,467,8,6
37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",2007,57,10,36,11,8659572,481,12,5
37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",2008,77,27,40,10,11271173,613,6,2
37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",2009,100,35,54,11,17708931,588,8,5
37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",2010,107,31,62,14,13122851,626,11,4
37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",2011,129,39,75,15,17074915,632,13,12
37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",2012,156,35,90,31,21987012,653,25,19
37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",2013,178,45,109,24,100142784,689,36,32
37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",2014,179,46,107,26,18704151,636,32,30
37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",2015,229,57,133,39,44631949,757,31,26
37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",2016,233,47,99,87,51891174,763,36,26
37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",2017,213,57,112,44,32719251,672,34,26
38060,"Phoenix-Mesa-Chandler, AZ",2006,19,7,8,4,3349612,154,5,4
38060,"Phoenix-Mesa-Chandler, AZ",2007,14,9,1,4,3303549,152,4,2
38060,"Phoenix-Mesa-Chandler, AZ",2008,50,40,6,4,1212021,147,1,1
38060,"Phoenix-Mesa-Chandler, AZ",2009,49,16,19,14,1878749,164,5,4
38060,"Phoenix-Mesa-Chandler, AZ",2010,55,32,14,9,1625716,187,4,2
38060,"Phoenix-Mesa-Chandler, AZ",2011,73,41,21,10,1059372,170,10,8
38060,"Phoenix-Mesa-Chandler, AZ",2012,80,35,36,9,1900333,239,9,8
38060,"Phoenix-Mesa-Chandler, AZ",2013,88,36,41,11,2026689,250,11,10
38060,"Phoenix-Mesa-Chandler, AZ",2014,90,22,56,12,3376965,261,12,12
38060,"Phoenix-Mesa-Chandler, AZ",2015,81,27,42,12,1436333,270,12,10
38060,"Phoenix-Mesa-Chandler, AZ",2016,83,13,57,13,10907198,269,13,11
38060,"Phoenix-Mesa-Chandler, AZ",2017,97,27,55,15,770443,277,15,11
38300,"Pittsburgh, PA",2006,86,31,36,19,16432059,286,18,12
38300,"Pittsburgh, PA",2007,82,30,28,24,10791725,379,16,12
38300,"Pittsburgh, PA",2008,84,32,36,16,13031156,369,13,9
38300,"Pittsburgh, PA",2009,61,17,24,19,12170219,370,13,8
38300,"Pittsburgh, PA",2010,128,59,49,20,9917819,333,16,14
38300,"Pittsburgh, PA",2011,175,91,69,15,8846450,411,13,12
38300,"Pittsburgh, PA",2012,207,110,75,22,24101436,486,20,17
38300,"Pittsburgh, PA",2013,249,155,68,26,9334742,495,24,14
38300,"Pittsburgh, PA",2014,240,141,73,26,46371249,537,17,15
38300,"Pittsburgh, PA",2015,178,68,85,24,10877222,785,22,14
38300,"Pittsburgh, PA",2016,175,47,91,38,21035282,576,21,11
38300,"Pittsburgh, PA",2017,223,84,97,42,762188567,593,26,17
38540,"Pocatello, ID",2010,1,0,0,0,0,0,0,0
38540,"Pocatello, ID",2011,0,0,0,0,0,3,0,0
38540,"Pocatello, ID",2012,0,0,0,0,0,2,0,0
38540,"Pocatello, ID",2013,0,0,0,0,0,9,0,0
38900,"Portland-Vancouver-Hillsboro, OR-WA",2006,36,5,29,2,719786,127,3,3
38900,"Portland-Vancouver-Hillsboro, OR-WA",2007,50,13,31,6,1246355,141,6,6
38900,"Portland-Vancouver-Hillsboro, OR-WA",2008,50,12,32,6,4683605,122,4,2
38900,"Portland-Vancouver-Hillsboro, OR-WA",2009,66,13,44,9,1627812,146,4,3
38900,"Portland-Vancouver-Hillsboro, OR-WA",2010,54,10,33,11,1317468,129,3,2
38900,"Portland-Vancouver-Hillsboro, OR-WA",2011,66,7,55,4,69281,144,3,3
38900,"Portland-Vancouver-Hillsboro, OR-WA",2012,79,12,64,3,1146775,138,3,3
38900,"Portland-Vancouver-Hillsboro, OR-WA",2013,119,20,94,5,2942374,127,5,5
38900,"Portland-Vancouver-Hillsboro, OR-WA",2014,114,9,100,5,2021070,153,4,3
38900,"Portland-Vancouver-Hillsboro, OR-WA",2015,117,33,77,7,2163020,149,6,5
38900,"Portland-Vancouver-Hillsboro, OR-WA",2016,104,18,76,10,1537848,151,6,4
38900,"Portland-Vancouver-Hillsboro, OR-WA",2017,120,15,101,4,1994654,167,3,2
39300,"Providence-Warwick, RI-MA",2006,1,1,0,0,900166,19,0,0
39300,"Providence-Warwick, RI-MA",2007,1,1,0,0,539472,16,0,0
39300,"Providence-Warwick, RI-MA",2008,2,1,1,0,344642,12,0,0
39300,"Providence-Warwick, RI-MA",2009,6,3,3,0,690479,8,0,0
39300,"Providence-Warwick, RI-MA",2010,3,2,1,0,200752,21,0,0
39300,"Providence-Warwick, RI-MA",2012,18,0,17,1,1593000,58,0,0
39300,"Providence-Warwick, RI-MA",2013,13,5,7,1,2522867,75,1,0
39300,"Providence-Warwick, RI-MA",2014,6,1,2,3,1861000,55,2,1
39300,"Providence-Warwick, RI-MA",2015,15,8,6,1,1524565,83,1,1
39300,"Providence-Warwick, RI-MA",2016,9,0,6,4,1413561,83,2,1
39300,"Providence-Warwick, RI-MA",2017,6,1,2,3,1183947,93,3,2
39340,"Provo-Orem, UT",2006,25,7,4,14,3070472,94,5,4
39340,"Provo-Orem, UT",2007,32,10,6,16,2408853,206,6,5
39340,"Provo-Orem, UT",2008,29,6,11,12,4481644,92,9,7
39340,"Provo-Orem, UT",2009,27,8,9,10,2687163,159,9,8
39340,"Provo-Orem, UT",2010,27,1,13,13,4079216,117,13,13
39340,"Provo-Orem, UT",2011,41,2,35,4,3442516,112,4,0
39340,"Provo-Orem, UT",2012,34,1,10,23,2597735,81,5,5
39340,"Provo-Orem, UT",2013,22,8,8,6,1818121,105,6,4
39340,"Provo-Orem, UT",2015,31,3,18,10,2644411,89,9,7
39340,"Provo-Orem, UT",2016,31,1,8,22,3974704,69,19,19
39340,"Provo-Orem, UT",2017,35,4,4,27,2325153,96,15,21
39580,"Raleigh-Cary, NC",2006,65,9,52,4,0,208,5,5
39580,"Raleigh-Cary, NC",2007,106,9,80,17,0,172,5,5
39580,"Raleigh-Cary, NC",2008,69,14,44,11,0,154,5,5
39580,"Raleigh-Cary, NC",2009,91,13,73,5,4930022,130,4,4
39580,"Raleigh-Cary, NC",2010,74,26,44,4,5117361,124,4,4
39580,"Raleigh-Cary, NC",2011,86,26,57,3,5186844,165,4,3
39580,"Raleigh-Cary, NC",2012,59,22,31,6,6430764,274,4,4
39580,"Raleigh-Cary, NC",2013,111,50,45,16,6788262,238,8,7
39580,"Raleigh-Cary, NC",2014,145,84,44,17,7528096,258,10,10
39580,"Raleigh-Cary, NC",2015,139,53,63,23,7601068,291,12,11
39580,"Raleigh-Cary, NC",2016,164,52,75,37,3844823,290,12,9
39580,"Raleigh-Cary, NC",2017,171,69,71,31,4445476,275,15,15
39900,"Reno, NV",2006,2,2,0,0,77128,23,0,0
39900,"Reno, NV",2007,3,1,2,0,69871,23,0,0
39900,"Reno, NV",2008,4,2,2,0,97553,0,0,0
39900,"Reno, NV",2009,2,0,0,0,164366,22,0,0
39900,"Reno, NV",2010,1,1,0,0,109941,25,0,0
39900,"Reno, NV",2011,2,0,2,0,117000,17,0,0
39900,"Reno, NV",2012,2,1,1,0,79499,29,0,0
39900,"Reno, NV",2013,1,1,0,0,113206,23,2,2
39900,"Reno, NV",2015,3,1,2,0,165193,31,1,1
39900,"Reno, NV",2016,4,1,1,2,233072,17,3,3
39900,"Reno, NV",2017,6,3,3,0,320209,21,1,1
40060,"Richmond, VA",2006,32,23,7,2,1552936,74,2,1
40060,"Richmond, VA",2007,13,1,11,1,2656059,78,1,1
40060,"Richmond, VA",2008,10,2,5,3,1884093,98,3,3
40060,"Richmond, VA",2009,19,9,9,1,964033,93,1,0
40060,"Richmond, VA",2010,13,1,11,1,1077477,101,1,0
40060,"Richmond, VA",2011,10,1,7,2,1229000,106,2,0
40060,"Richmond, VA",2012,10,3,6,1,1827650,111,1,7
40060,"Richmond, VA",2013,11,3,5,3,1344410,103,3,7
40060,"Richmond, VA",2014,17,8,6,3,1743344,98,3,1
40060,"Richmond, VA",2015,14,5,2,7,2570679,93,7,5
40060,"Richmond, VA",2016,18,9,4,5,2337226,133,4,3
40060,"Richmond, VA",2017,18,3,11,4,6677008,134,4,2
40140,"Riverside-San Bernardino-Ontario, CA",2015,0,0,0,0,0,4,0,0
40380,"Rochester, NY",2006,24,4,8,12,38016557,141,7,5
40380,"Rochester, NY",2007,12,3,4,5,53336965,149,2,1
40380,"Rochester, NY",2008,18,10,4,4,72264249,147,6,5
40380,"Rochester, NY",2009,15,5,6,4,46025270,148,2,1
40380,"Rochester, NY",2010,19,7,8,4,41664036,123,5,5
40380,"Rochester, NY",2011,33,4,19,10,41813373,128,2,1
40380,"Rochester, NY",2012,33,6,16,11,39637063,146,2,2
40380,"Rochester, NY",2013,15,3,5,5,29623288,156,0,0
40380,"Rochester, NY",2014,35,5,24,6,25864469,177,2,1
40380,"Rochester, NY",2015,29,2,18,9,22661564,169,8,5
40380,"Rochester, NY",2016,38,12,25,1,23090247,162,4,4
40380,"Rochester, NY",2017,36,8,22,6,10306584,128,5,4
40820,"Ruston, LA",2007,5,0,2,3,70700,32,2,1
40820,"Ruston, LA",2008,9,0,4,1,55600,27,1,1
40820,"Ruston, LA",2009,4,0,3,1,176800,26,1,1
40820,"Ruston, LA",2010,2,0,1,1,33500,24,1,1
40820,"Ruston, LA",2011,2,0,2,0,31500,18,0,0
40820,"Ruston, LA",2012,5,2,2,1,31500,28,1,1
40820,"Ruston, LA",2013,3,0,2,1,225842,18,1,0
40820,"Ruston, LA",2014,6,4,0,2,222270,17,2,2
40820,"Ruston, LA",2015,6,1,0,3,160289,13,3,3
40820,"Ruston, LA",2016,3,0,2,1,143885,12,1,1
40820,"Ruston, LA",2017,2,1,1,0,173250,10,0,0
41180,"St. Louis, MO-IL",2006,45,30,13,2,11936957,139,3,4
41180,"St. Louis, MO-IL",2007,46,1,3,7,12534437,121,6,3
41180,"St. Louis, MO-IL",2011,5,0,4,2,677204,25,0,0
41180,"St. Louis, MO-IL",2012,0,0,0,0,710882,21,0,0
41180,"St. Louis, MO-IL",2014,3,0,0,3,629425,25,3,3
41180,"St. Louis, MO-IL",2015,7,1,2,4,831819,8,2,0
41180,"St. Louis, MO-IL",2016,4,0,2,2,1569418,30,1,0
41620,"Salt Lake City, UT",2006,61,11,33,17,16295064,180,17,17
41620,"Salt Lake City, UT",2007,64,10,36,18,17493415,189,18,15
41620,"Salt Lake City, UT",2008,78,27,31,20,26211372,205,20,15
41620,"Salt Lake City, UT",2009,79,17,43,19,12422572,200,19,17
41620,"Salt Lake City, UT",2010,68,12,38,18,37547208,208,18,16
41620,"Salt Lake City, UT",2011,81,23,39,19,37054745,237,19,13
41620,"Salt Lake City, UT",2012,70,15,41,14,37337517,278,14,10
41620,"Salt Lake City, UT",2013,88,19,46,23,38005427,212,23,19
41620,"Salt Lake City, UT",2014,105,20,69,16,76514927,179,16,11
41620,"Salt Lake City, UT",2015,91,15,60,16,60038273,167,16,15
41620,"Salt Lake City, UT",2017,42,7,13,22,8260475,196,10,10
41700,"San Antonio-New Braunfels, TX",2007,8,3,5,0,1606882,25,0,0
41700,"San Antonio-New Braunfels, TX",2008,4,1,3,0,2491100,34,0,0
41740,"San Diego-Chula Vista-Carlsbad, CA",2008,10,8,2,0,381661,13,0,0
41740,"San Diego-Chula Vista-Carlsbad, CA",2009,14,2,10,2,419873,24,0,0
41740,"San Diego-Chula Vista-Carlsbad, CA",2010,12,2,4,6,365814,28,3,3
41740,"San Diego-Chula Vista-Carlsbad, CA",2011,11,1,2,8,530738,37,4,4
41740,"San Diego-Chula Vista-Carlsbad, CA",2012,8,0,3,3,355812,52,3,3
41740,"San Diego-Chula Vista-Carlsbad, CA",2013,14,3,10,1,401881,32,1,1
41740,"San Diego-Chula Vista-Carlsbad, CA",2014,12,0,10,2,1314965,30,1,1
41740,"San Diego-Chula Vista-Carlsbad, CA",2015,9,0,0,3,584536,35,1,0
41740,"San Diego-Chula Vista-Carlsbad, CA",2016,10,0,0,0,582861,29,0,0
41740,"San Diego-Chula Vista-Carlsbad, CA",2017,6,0,0,0,519725,34,0,0
41860,"San Francisco-Oakland-Berkeley, CA",2006,226,114,52,60,193499879,1308,39,29
41860,"San Francisco-Oakland-Berkeley, CA",2007,231,123,58,50,97593575,1411,38,28
41860,"San Francisco-Oakland-Berkeley, CA",2008,206,88,61,57,146314433,1497,55,49
41860,"San Francisco-Oakland-Berkeley, CA",2009,237,126,54,57,103104667,1482,47,34
41860,"San Francisco-Oakland-Berkeley, CA",2010,252,147,36,69,104434511,1565,75,62
41860,"San Francisco-Oakland-Berkeley, CA",2011,292,151,98,43,182049620,1581,58,44
41860,"San Francisco-Oakland-Berkeley, CA",2012,236,126,72,38,102191043,1638,55,46
41860,"San Francisco-Oakland-Berkeley, CA",2013,261,158,61,42,104807562,1595,66,48
41860,"San Francisco-Oakland-Berkeley, CA",2014,264,142,85,37,115376018,1646,75,68
41860,"San Francisco-Oakland-Berkeley, CA",2015,277,147,66,64,174866269,1648,83,74
41860,"San Francisco-Oakland-Berkeley, CA",2016,278,54,124,100,156128029,1679,86,82
41860,"San Francisco-Oakland-Berkeley, CA",2017,297,86,95,116,124462132,1586,94,84
41940,"San Jose-Sunnyvale-Santa Clara, CA",2006,109,42,59,8,61310739,518,7,7
41940,"San Jose-Sunnyvale-Santa Clara, CA",2007,88,27,56,5,50370600,401,6,5
41940,"San Jose-Sunnyvale-Santa Clara, CA",2008,107,29,69,9,62514524,441,9,8
41940,"San Jose-Sunnyvale-Santa Clara, CA",2009,77,30,37,10,65054187,443,9,8
41940,"San Jose-Sunnyvale-Santa Clara, CA",2010,90,26,54,10,65466286,467,0,0
41940,"San Jose-Sunnyvale-Santa Clara, CA",2011,123,0,0,0,66797246,504,0,0
41940,"San Jose-Sunnyvale-Santa Clara, CA",2012,137,0,0,0,76727029,504,0,0
41940,"San Jose-Sunnyvale-Santa Clara, CA",2013,123,0,0,0,86967392,502,9,8
41940,"San Jose-Sunnyvale-Santa Clara, CA",2014,106,0,0,0,108604960,481,23,22
41940,"San Jose-Sunnyvale-Santa Clara, CA",2015,112,0,0,0,95110075,483,28,25
41940,"San Jose-Sunnyvale-Santa Clara, CA",2016,141,0,0,32,94220370,472,32,29
41940,"San Jose-Sunnyvale-Santa Clara, CA",2017,157,0,0,22,45391705,477,22,17
42020,"San Luis Obispo-Paso Robles, CA",2016,2,0,2,0,20000,7,0,0
43780,"South Bend-Mishawaka, IN-MI",2007,3,0,2,1,84059,46,0,0
43780,"South Bend-Mishawaka, IN-MI",2008,6,1,4,1,259990,48,0,0
43780,"South Bend-Mishawaka, IN-MI",2009,6,1,3,2,91580,33,2,1
43780,"South Bend-Mishawaka, IN-MI",2010,8,1,2,5,338161,39,2,2
43780,"South Bend-Mishawaka, IN-MI",2011,6,3,1,2,559262,56,1,1
43780,"South Bend-Mishawaka, IN-MI",2012,11,5,2,4,225900,54,4,2
43780,"South Bend-Mishawaka, IN-MI",2013,6,1,1,4,137404,72,1,1
43780,"South Bend-Mishawaka, IN-MI",2014,13,2,6,5,345094,62,3,2
43780,"South Bend-Mishawaka, IN-MI",2015,18,5,6,7,586427,78,2,0
43780,"South Bend-Mishawaka, IN-MI",2016,22,5,4,6,327949,73,4,1
43780,"South Bend-Mishawaka, IN-MI",2017,22,3,4,3,386917,73,3,2
44260,"Starkville, MS",2006,12,3,6,3,476386,67,2,2
44260,"Starkville, MS",2007,10,1,5,4,414008,80,3,3
44260,"Starkville, MS",2008,1,0,0,1,428362,56,4,4
44260,"Starkville, MS",2009,4,1,3,0,382347,51,0,0
44260,"Starkville, MS",2010,12,0,10,2,328080,51,1,1
44260,"Starkville, MS",2011,12,2,9,1,336436,44,5,5
44260,"Starkville, MS",2012,7,0,6,1,255914,35,1,1
44260,"Starkville, MS",2013,6,0,2,4,175153,35,4,3
44260,"Starkville, MS",2014,19,1,12,6,152689,29,1,1
44260,"Starkville, MS",2015,9,2,6,1,230248,30,1,1
44260,"Starkville, MS",2016,5,1,4,0,203762,37,2,2
44260,"Starkville, MS",2017,7,0,5,2,146281,35,3,2
44300,"State College, PA",2006,22,6,10,6,1348400,152,4,3
44300,"State College, PA",2007,12,5,4,3,1816794,121,3,3
44300,"State College, PA",2008,26,12,13,1,1504063,143,1,1
44300,"State College, PA",2009,21,5,11,5,1227175,119,3,2
44300,"State College, PA",2010,24,13,6,5,2271002,133,5,4
44300,"State College, PA",2011,23,8,9,6,2947261,144,5,2
44300,"State College, PA",2012,21,7,8,6,3095017,132,5,4
44300,"State College, PA",2013,36,8,8,20,2267016,159,10,9
44300,"State College, PA",2014,36,12,9,15,1525921,117,9,7
44300,"State College, PA",2015,24,8,6,10,1957775,144,8,6
44300,"State College, PA",2016,17,5,7,5,7832756,154,6,4
44300,"State College, PA",2017,30,12,8,10,1177897,158,8,8
45220,"Tallahassee, FL",2006,2,2,0,0,1139604,51,0,0
45220,"Tallahassee, FL",2007,13,8,4,1,1813580,44,1,1
45220,"Tallahassee, FL",2008,11,3,5,3,1257266,56,3,1
45220,"Tallahassee, FL",2009,10,4,4,2,1192448,45,2,2
45220,"Tallahassee, FL",2010,6,1,3,2,1314917,45,2,2
45220,"Tallahassee, FL",2011,10,2,4,4,1467981,64,4,4
45220,"Tallahassee, FL",2012,13,4,7,2,1133065,74,2,2
45220,"Tallahassee, FL",2013,15,4,8,3,1036222,58,3,2
45220,"Tallahassee, FL",2014,20,4,8,8,1064265,61,2,8
45220,"Tallahassee, FL",2015,16,3,3,10,497282,76,8,0
45220,"Tallahassee, FL",2016,9,1,2,6,348929,66,3,2
45220,"Tallahassee, FL",2017,14,1,11,2,448612,53,2,2
45300,"Tampa-St. Petersburg-Clearwater, FL",2006,21,3,10,8,1704025,109,6,6
45300,"Tampa-St. Petersburg-Clearwater, FL",2007,23,8,2,13,2099712,138,4,4
45300,"Tampa-St. Petersburg-Clearwater, FL",2008,28,13,7,8,1831000,139,5,5
45300,"Tampa-St. Petersburg-Clearwater, FL",2010,37,13,13,11,17411625,161,5,4
45300,"Tampa-St. Petersburg-Clearwater, FL",2011,36,16,12,8,1390871,172,8,5
45300,"Tampa-St. Petersburg-Clearwater, FL",2012,52,16,28,8,1243424,177,10,10
45300,"Tampa-St. Petersburg-Clearwater, FL",2013,75,24,40,11,1802233,185,9,8
45300,"Tampa-St. Petersburg-Clearwater, FL",2014,91,33,42,16,1405713,190,11,8
45300,"Tampa-St. Petersburg-Clearwater, FL",2015,119,47,60,12,2455127,185,11,8
45300,"Tampa-St. Petersburg-Clearwater, FL",2016,133,67,54,12,1903090,188,9,8
45300,"Tampa-St. Petersburg-Clearwater, FL",2017,122,49,60,13,2062242,193,10,5
45780,"Toledo, OH",2006,9,3,3,3,312423,43,2,2
45780,"Toledo, OH",2007,18,7,9,2,656156,41,2,1
45780,"Toledo, OH",2008,14,6,2,6,704293,63,3,3
45780,"Toledo, OH",2009,26,3,17,6,716296,103,4,4
45780,"Toledo, OH",2010,18,5,9,4,874868,76,3,2
45780,"Toledo, OH",2011,16,6,8,2,795298,76,2,0
45780,"Toledo, OH",2012,9,3,4,2,696542,48,2,1
45780,"Toledo, OH",2013,18,8,7,3,603526,90,3,3
45780,"Toledo, OH",2014,18,2,12,4,1422993,60,4,4
45780,"Toledo, OH",2015,14,3,6,5,951945,60,0,0
45780,"Toledo, OH",2016,10,3,4,3,713908,99,3,2
45780,"Toledo, OH",2017,9,4,2,3,5575135,57,0,0
45940,"Trenton-Princeton, NJ",2011,13,1,8,4,115206000,84,4,1
45940,"Trenton-Princeton, NJ",2012,19,3,11,5,130086000,106,0,0
45940,"Trenton-Princeton, NJ",2013,12,4,4,4,134000000,107,1,0
45940,"Trenton-Princeton, NJ",2014,12,1,6,5,142980000,106,4,1
45940,"Trenton-Princeton, NJ",2015,16,3,9,4,142231000,117,4,1
45940,"Trenton-Princeton, NJ",2016,14,2,9,3,131048000,100,1,1
45940,"Trenton-Princeton, NJ",2017,26,4,11,11,68841000,90,6,4
46060,"Tucson, AZ",2006,26,7,16,3,1688857,90,3,1
46060,"Tucson, AZ",2007,28,16,4,8,1191130,104,3,2
46060,"Tucson, AZ",2008,37,0,0,6,690190,101,6,6
46060,"Tucson, AZ",2009,49,18,16,15,687110,125,7,7
46060,"Tucson, AZ",2010,64,28,21,15,718027,131,6,4
46060,"Tucson, AZ",2011,80,47,18,15,981495,149,8,7
46060,"Tucson, AZ",2012,47,20,11,16,921965,142,5,3
46060,"Tucson, AZ",2013,48,23,19,6,926023,144,3,3
46060,"Tucson, AZ",2014,72,7,46,19,1112331,188,11,9
46060,"Tucson, AZ",2015,83,29,31,23,3895882,213,12,10
46060,"Tucson, AZ",2016,95,20,53,22,2015807,250,14,7
46060,"Tucson, AZ",2017,105,22,64,19,2703261,261,15,12
46140,"Tulsa, OK",2006,0,0,0,0,0,0,0,0
46220,"Tuscaloosa, AL",2006,2,1,0,1,0,15,0,0
46220,"Tuscaloosa, AL",2007,5,1,0,4,150000,46,4,3
46220,"Tuscaloosa, AL",2008,5,0,1,4,38163,38,3,1
