cbsa,CMA_CBSA_name,complex
11500,"Anniston-Oxford-Jacksonville, AL",0.25013152
33700,"Modesto, CA",0.249524671
40220,"Roanoke, VA",0.248614644
26820,"Idaho Falls, ID",0.247672866
44140,"Springfield, MA",0.246645339
12020,"Athens-Clarke County, GA",0.245379179
30140,"Lebanon, PA",0.24439429
13460,"Bend-Redmond, OR",0.244287409
21300,"Elmira, NY",0.243386241
48260,"Weirton-Steubenville, WV-OH",0.241163631
12540,"Bakersfield, CA",0.240588
14020,"Bloomington, IN",0.239911321
17460,"Cleveland-Elyria, OH",0.23987007
44180,"Springfield, MO",0.238871144
25860,"Hickory-Lenoir-Morganton, NC",0.235877212
35380,"New Orleans-Metairie, LA",0.234393613
46700,"Vallejo-Fairfield, CA",0.23360108
10420,"Akron, OH",0.23279528
33860,"Montgomery, AL",0.231467194
23420,"Fresno, CA",0.231275695
32900,"Merced, CA",0.231148202
34980,"Nashville-Davidson--Murfreesboro--Franklin, TN",0.230921024
26900,"Indianapolis-Carmel-Anderson, IN",0.230744908
39660,"Rapid City, SD",0.230359573
19820,"Detroit-Warren-Dearborn, MI",0.229673474
41100,"St. George, UT",0.229664646
47300,"Visalia-Porterville, CA",0.229645019
46220,"Tuscaloosa, AL",0.228558698
40060,"Richmond, VA",0.228267974
48900,"Wilmington, NC",0.227386289
44060,"Spokane-Spokane Valley, WA",0.226901565
17860,"Columbia, MO",0.226802353
11100,"Amarillo, TX",0.226302221
46520,"Urban Honolulu, HI",0.22627985
47260,"Virginia Beach-Norfolk-Newport News, VA-NC",0.225931732
34820,"Myrtle Beach-Conway-North Myrtle Beach, SC-NC",0.225270953
39380,"Pueblo, CO",0.225191859
24860,"Greenville-Anderson-Mauldin, SC",0.223763828
19660,"Deltona-Daytona Beach-Ormond Beach, FL",0.223694386
38940,"Port St. Lucie, FL",0.222568579
33340,"Milwaukee-Waukesha-West Allis, WI",0.222128245
38340,"Pittsfield, MA",0.221821807
24020,"Glens Falls, NY",0.22145336
22520,"Florence-Muscle Shoals, AL",0.220623288
41420,"Salem, OR",0.220213884
25420,"Harrisburg-Carlisle, PA",0.219481735
36220,"Odessa, TX",0.218908011
13820,"Birmingham-Hoover, AL",0.218520506
41660,"San Angelo, TX",0.218035336
11180,"Ames, IA",0.217499543
17980,"Columbus, GA-AL",0.217115115
29020,"Kokomo, IN",0.216486477
19460,"Decatur, AL",0.216463671
27260,"Jacksonville, FL",0.21636084
39460,"Punta Gorda, FL",0.215771269
32820,"Memphis, TN-MS-AR",0.215725628
19140,"Dalton, GA",0.214081556
19300,"Daphne-Fairhope-Foley, AL",0.213688351
42540,"Scranton--Wilkes-Barre--Hazleton, PA",0.213680125
34900,"Napa, CA",0.212433787
24220,"Grand Forks, ND-MN",0.211366065
34620,"Muncie, IN",0.21055379
23900,"Gettysburg, PA",0.210508989
30860,"Logan, UT-ID",0.209706991
41540,"Salisbury, MD-DE",0.209641885
16700,"Charleston-North Charleston, SC",0.209135777
28660,"Killeen-Temple, TX",0.208346582
46340,"Tyler, TX",0.206718318
45220,"Tallahassee, FL",0.204392781
31020,"Longview, WA",0.2037047
12100,"Atlantic City-Hammonton, NJ",0.203286526
48300,"Wenatchee, WA",0.202904677
33740,"Monroe, LA",0.200552705
31140,"Louisville/Jefferson County, KY-IN",0.199193054
21340,"El Paso, TX",0.199003814
12940,"Baton Rouge, LA",0.198873686
32580,"McAllen-Edinburg-Mission, TX",0.196380582
36260,"Ogden-Clearfield, UT",0.195831478
12620,"Bangor, ME",0.194948235
30300,"Lewiston, ID-WA",0.194819166
11460,"Ann Arbor, MI",0.193964968
39740,"Reading, PA",0.193402998
31180,"Lubbock, TX",0.193040214
17300,"Clarksville, TN-KY",0.193003499
26980,"Iowa City, IA",0.192741206
20700,"East Stroudsburg, PA",0.191793008
46140,"Tulsa, OK",0.191410989
43780,"South Bend-Mishawaka, IN-MI",0.191320328
43900,"Spartanburg, SC",0.190676722
41140,"St. Joseph, MO-KS",0.189028729
49620,"York-Hanover, PA",0.18794452
25940,"Hilton Head Island-Bluffton-Beaufort, SC",0.187625222
18140,"Columbus, OH",0.185703849
37620,"Parkersburg-Vienna, WV",0.185541143
17660,"Coeur d'Alene, ID",0.18436594
23460,"Gadsden, AL",0.183252345
36420,"Oklahoma City, OK",0.182937159
23580,"Gainesville, GA",0.182757
37460,"Panama City, FL",0.182669767
15980,"Cape Coral-Fort Myers, FL",0.181649804
45780,"Toledo, OH",0.180963307
47220,"Vineland-Bridgeton, NJ",0.180101062
13220,"Beckley, WV",0.17992671
22180,"Fayetteville, NC",0.17966
12260,"Augusta-Richmond County, GA-SC",0.179354178
30700,"Lincoln, NE",0.176512606
17420,"Cleveland, TN",0.176207256
30780,"Little Rock-North Little Rock-Conway, AR",0.175424329
29540,"Lancaster, PA",0.174746964
25620,"Hattiesburg, MS",0.174419614
29180,"Lafayette, LA",0.173728866
33660,"Mobile, AL",0.172146578
35840,"North Port-Sarasota-Bradenton, FL",0.172146125
20260,"Duluth, MN-WI",0.171847066
11260,"Anchorage, AK",0.17176677
35980,"Norwich-New London, CT",0.171340872
29620,"Lansing-East Lansing, MI",0.171139038
20100,"Dover, DE",0.170956479
31860,"Mankato-North Mankato, MN",0.170740659
27140,"Jackson, MS",0.170428903
34940,"Naples-Immokalee-Marco Island, FL",0.170266934
24260,"Grand Island, NE",0.169301587
36540,"Omaha-Council Bluffs, NE-IA",0.168735325
27900,"Joplin, MO",0.168507842
36140,"Ocean City, NJ",0.168415075
49700,"Yuba City, CA",0.168272004
37860,"Pensacola-Ferry Pass-Brent, FL",0.167839412
16860,"Chattanooga, TN-GA",0.167764964
26140,"Homosassa Springs, FL",0.167763108
24340,"Grand Rapids-Wyoming, MI",0.167531051
26580,"Huntington-Ashland, WV-KY-OH",0.167464759
48540,"Wheeling, WV-OH",0.167348505
39820,"Redding, CA",0.166566176
15940,"Canton-Massillon, OH",0.166527776
17020,"Chico, CA",0.165798198
49020,"Winchester, VA-WV",0.165129344
14010,"Bloomington, IL",0.164419174
16620,"Charleston, WV",0.164148656
16060,"Carbondale-Marion, IL",0.162330556
29460,"Lakeland-Winter Haven, FL",0.162089519
20740,"Eau Claire, WI",0.160480111
32780,"Medford, OR",0.160141004
25260,"Hanford-Corcoran, CA",0.15860069
35100,"New Bern, NC",0.157727916
41060,"St. Cloud, MN",0.157583597
42340,"Savannah, GA",0.155377027
31420,"Macon, GA",0.155174382
28020,"Kalamazoo-Portage, MI",0.154448703
39540,"Racine, WI",0.154439948
11700,"Asheville, NC",0.152687172
13380,"Bellingham, WA",0.152429407
39140,"Prescott, AZ",0.152176918
49420,"Yakima, WA",0.151930486
45820,"Topeka, KS",0.151892129
40420,"Rockford, IL",0.150013847
36780,"Oshkosh-Neenah, WI",0.150000995
33540,"Missoula, MT",0.149066647
13020,"Bay City, MI",0.148910347
14540,"Bowling Green, KY",0.148468296
49660,"Youngstown-Warren-Boardman, OH-PA",0.147855462
24500,"Great Falls, MT",0.146189555
45500,"Texarkana, TX-AR",0.146123153
11540,"Appleton, WI",0.146050156
28100,"Kankakee, IL",0.145506872
14100,"Bloomsburg-Berwick, PA",0.143752546
27500,"Janesville-Beloit, WI",0.142922653
15180,"Brownsville-Harlingen, TX",0.142884541
19500,"Decatur, IL",0.142425271
43420,"Sierra Vista-Douglas, AZ",0.140793371
44940,"Sumter, SC",0.138956842
29420,"Lake Havasu City-Kingman, AZ",0.138327668
19780,"Des Moines-West Des Moines, IA",0.13814282
27780,"Johnstown, PA",0.13800735
43340,"Shreveport-Bossier City, LA",0.136801383
34580,"Mount Vernon-Anacortes, WA",0.134931124
23060,"Fort Wayne, IN",0.134538641
30980,"Longview, TX",0.134070791
10500,"Albany, GA",0.133937407
48620,"Wichita, KS",0.133892918
30020,"Lawton, OK",0.133163162
31740,"Manhattan, KS",0.132336136
15500,"Burlington, NC",0.132239581
29100,"La Crosse-Onalaska, WI-MN",0.131095088
43620,"Sioux Falls, SD",0.130891713
24300,"Grand Junction, CO",0.129648534
20940,"El Centro, CA",0.12892935
44220,"Springfield, OH",0.1289046
40660,"Rome, GA",0.128740737
48700,"Williamsport, PA",0.128403801
33220,"Midland, MI",0.128021075
37900,"Peoria, IL",0.127720504
22500,"Florence, SC",0.12600775
22140,"Farmington, NM",0.125856212
13140,"Beaumont-Port Arthur, TX",0.125755597
18880,"Crestview-Fort Walton Beach-Destin, FL",0.125385001
47460,"Walla Walla, WA",0.124287067
49740,"Yuma, AZ",0.123813467
26300,"Hot Springs, AR",0.123409445
24780,"Greenville, NC",0.122264899
25060,"Gulfport-Biloxi-Pascagoula, MS",0.121502047
21500,"Erie, PA",0.120471853
18580,"Corpus Christi, TX",0.119973967
47380,"Waco, TX",0.118313844
27180,"Jackson, TN",0.118132635
45460,"Terre Haute, IN",0.117507264
33140,"Michigan City-La Porte, IN",0.116777358
33260,"Midland, TX",0.116571179
29700,"Laredo, TX",0.11521422
30620,"Lima, OH",0.115015218
35660,"Niles-Benton Harbor, MI",0.114781887
22900,"Fort Smith, AR-OK",0.114699728
27860,"Jonesboro, AR",0.114504893
19340,"Davenport-Moline-Rock Island, IA-IL",0.113497281
21780,"Evansville, IN-KY",0.112741705
27620,"Jefferson City, MO",0.110823519
47580,"Warner Robins, GA",0.10966758
24420,"Grants Pass, OR",0.109426756
27340,"Jacksonville, NC",0.108923808
48060,"Watertown-Fort Drum, NY",0.107096728
13740,"Billings, MT",0.10593657
25180,"Hagerstown-Martinsburg, MD-WV",0.104326121
20020,"Dothan, AL",0.103326187
22020,"Fargo, ND-MN",0.100314754
43100,"Sheboygan, WI",0.099476675
29340,"Lake Charles, LA",0.099342832
16020,"Cape Girardeau, MO-IL",0.09903589
33780,"Monroe, MI",0.097165501
16540,"Chambersburg-Waynesboro, PA",0.091418913
44100,"Springfield, IL",0.090846533
27100,"Jackson, MI",0.088663608
22420,"Flint, MI",0.088589337
15260,"Brunswick, GA",0.086769261
48140,"Wausau, WI",0.084631839
40980,"Saginaw, MI",0.084609502
31900,"Mansfield, OH",0.084533062
24140,"Goldsboro, NC",0.08396544
34100,"Morristown, TN",0.083824202
24580,"Green Bay, WI",0.083759169
11020,"Altoona, PA",0.08238335
10180,"Abilene, TX",0.081854526
21140,"Elkhart-Goshen, IN",0.081502287
48660,"Wichita Falls, TX",0.080230702
40580,"Rocky Mount, NC",0.079645441
34740,"Muskegon, MI",0.078865461
21060,"Elizabethtown-Fort Knox, KY",0.074637362
36980,"Owensboro, KY",0.074035656
47020,"Victoria, TX",0.069320549
12980,"Battle Creek, MI",0.065610708
46660,"Valdosta, GA",0.063822004
10780,"Alexandria, LA",0.061913702
43580,"Sioux City, IA-NE-SD",0.055330241
42700,"Sebring, FL",0.054382822
26380,"Houma-Thibodaux, LA",0.051776067
45540,"The Villages, FL",0.047568478
22540,"Fond du Lac, WI",0.044134923
38220,"Pine Bluff, AR",0.04058723
47940,"Waterloo-Cedar Falls, IA",0.037116142
18020,"Columbus, IN",0.033559444
20220,"Dubuque, IA",0.033089106
16220,"Casper, WY",0.030641483
13900,"Bismarck, ND",0.010919127
25220,"Hammond, LA",2.50969E-06
