cbsa_code,year_range,cbsa_name,st_name,cbsa_patents_invented,cbsa_inventors_per_patent,cbsa_patent_applications,cbsa_applicants_per_patent
"Greenville, OH",2008-2012,24820,Ohio,13.8475580215454,44,7.5,8
"Greenville-Anderson-Mauldin, SC",2008-2012,24860,South Carolina,755.76513671875,1968,233.454040527344,299
"Greenwood, MS",2008-2012,24900,Mississippi,1.25,4,1,1
"Greenwood, SC",2008-2012,24940,South Carolina,10.4642858505249,25,3.76785707473755,9
"Gulfport-Biloxi-Pascagoula, MS",2008-2012,25060,Mississippi,31.2357139587402,63,24.4166660308838,31
"Guymon, OK",2008-2012,25100,Oklahoma,0.400000005960464,2,5.5,6
"Hagerstown-Martinsburg, MD-WV",2008-2012,25180,Maryland,50.585319519043,118,16.4039688110352,21
"Hailey, ID",2008-2012,25200,Idaho,13.2833337783813,23,13.1999998092651,15
"Hammond, LA",2008-2012,25220,Louisiana,11.2916669845581,18,12.5,15
"Hanford-Corcoran, CA",2008-2012,25260,California,1.5,4,1,1
"Hannibal, MO",2008-2012,25300,Missouri,3.82229447364807,17,NA,NA
"Harrisburg-Carlisle, PA",2008-2012,25420,Pennsylvania,253.264602661133,674,67.6666641235352,86
"Harrison, AR",2008-2012,25460,Arkansas,1.83333337306976,3,1.33333337306976,2
"Harrisonburg, VA",2008-2012,25500,Virginia,27.2574672698975,88,24.3333339691162,26
"Hartford-West Hartford-East Hartford, CT",2008-2012,25540,Connecticut,2064.43896484375,5675,2806.87377929688,3047
"Hastings, NE",2008-2012,25580,Nebraska,0.666666746139526,2,NA,NA
"Hattiesburg, MS",2008-2012,25620,Mississippi,17.8166675567627,54,13.3333330154419,16
"Hays, KS",2008-2012,25700,Kansas,1.5,6,NA,NA
"Heber, UT",2008-2012,25720,Utah,16.0329723358154,32,3.53571438789368,6
"Helena, MT",2008-2012,25740,Montana,4.14444446563721,7,2,2
"Henderson, NC",2008-2012,25780,North Carolina,1.98333334922791,6,1,1
"Hermiston-Pendleton, OR",2008-2012,25840,Oregon,3.66666674613953,10,3,3
"Hickory-Lenoir-Morganton, NC",2008-2012,25860,North Carolina,205.837509155273,633,508.501190185547,690
"Hillsdale, MI",2008-2012,25880,Michigan,2.73611116409302,8,2,2
"Hilo, HI",2008-2012,25900,Hawaii,25.881685256958,52,15.8333330154419,24
"Hilton Head Island-Bluffton-Beaufort, SC",2008-2012,25940,South Carolina,18.597620010376,45,16.5833339691162,22
"Hinesville, GA",2008-2012,25980,Georgia,0.842857122421265,3,0.509523808956146,3
"Hobbs, NM",2008-2012,26020,New Mexico,2.125,4,3.5,4
"Holland, MI",2008-2012,26090,Michigan,49.5377426147461,171,13.3095235824585,24
"Homosassa Springs, FL",2008-2012,26140,Florida,9.02777767181396,16,4.33333349227905,6
"Hood River, OR",2008-2012,26220,Oregon,7.30833339691162,17,4,5
"Hot Springs, AR",2008-2012,26300,Arkansas,3.95952391624451,10,2,2
"Houghton, MI",2008-2012,26340,Michigan,29.8714294433594,81,25.466667175293,36
"Houma-Thibodaux, LA",2008-2012,26380,Louisiana,34.6976203918457,72,28.7000007629395,37
"Houston-The Woodlands-Sugar Land, TX",2008-2012,26420,Texas,10014.3251953125,28293,13358.86328125,14817
"Hudson, NY",2008-2012,26460,New York,15.5700397491455,41,5.5,8
"Huntingdon, PA",2008-2012,26500,Pennsylvania,3.5,9,1.33333337306976,2
"Huntington, IN",2008-2012,26540,Indiana,11.0269842147827,28,0.75,2
"Huntington-Ashland, WV-KY-OH",2008-2012,26580,West Virginia,59.3210678100586,203,30.2333335876465,50
"Huntsville, AL",2008-2012,26620,Alabama,272.839294433594,731,196.327377319336,217
"Huntsville, TX",2008-2012,26660,Texas,6.23571443557739,17,5.5,6
"Hutchinson, KS",2008-2012,26740,Kansas,15.1333332061768,35,3.33333325386047,5
"Hutchinson, MN",2008-2012,26780,Minnesota,16.1488094329834,48,12.2857141494751,14
"Idaho Falls, ID",2008-2012,26820,Idaho,93.262825012207,297,79.6666641235352,86
"Indiana, PA",2008-2012,26860,Pennsylvania,30.9364833831787,89,8.29166698455811,12
"Indianapolis-Carmel-Anderson, IN",2008-2012,26900,Indiana,2128.52783203125,6311,1873.83911132812,2236
"Ionia, MI",2008-2012,26960,Michigan,9.80833339691162,18,2.25,4
"Iowa City, IA",2008-2012,26980,Iowa,134.011657714844,381,116.626190185547,157
"Iron Mountain, MI-WI",2008-2012,27020,Michigan,48.649242401123,87,52.8333320617676,56
"Ithaca, NY",2008-2012,27060,New York,481.483856201172,1344,542.823791503906,647
"Jackson, MI",2008-2012,27100,Michigan,94.9563827514648,242,44.3666687011719,48
"Jackson, MS",2008-2012,27140,Mississippi,36.9054641723633,97,37.7333335876465,44
"Jackson, TN",2008-2012,27180,Tennessee,15.5285711288452,39,3.83333349227905,5
"Jackson, WY-ID",2008-2012,27220,Wyoming,26.2706718444824,68,17.6666660308838,21
"Jacksonville, FL",2008-2012,27260,Florida,358.139007568359,1101,384.649993896484,416
"Jacksonville, IL",2008-2012,27300,Illinois,0.699999988079071,2,2,2
"Jacksonville, NC",2008-2012,27340,North Carolina,3.86666679382324,10,4,4
"Jacksonville, TX",2008-2012,27380,Texas,1.33333337306976,2,NA,NA
"Jamestown, ND",2008-2012,27420,North Dakota,2.25,4,0.200000002980232,1
"Jamestown-Dunkirk-Fredonia, NY",2008-2012,27460,New York,18.9976196289062,55,7.34999990463257,17
"Janesville-Beloit, WI",2008-2012,27500,Wisconsin,42.2880210876465,112,46,49
"Jasper, IN",2008-2012,27540,Indiana,5.08333349227905,13,2,2
"Jefferson, GA",2008-2012,27600,Georgia,16.4718265533447,32,7.03333330154419,10
"Jefferson City, MO",2008-2012,27620,Missouri,10.2857141494751,20,6,6
"Jesup, GA",2008-2012,27700,Georgia,0.833333373069763,2,NA,NA
"Johnson City, TN",2008-2012,27740,Tennessee,73.4980773925781,247,14,16
"Johnstown, PA",2008-2012,27780,Pennsylvania,16.213888168335,35,6.5,7
"Jonesboro, AR",2008-2012,27860,Arkansas,12.3845243453979,27,5.5,6
"Joplin, MO",2008-2012,27900,Missouri,51.6003150939941,173,16.2000007629395,18
"Junction City, KS",2008-2012,27920,Kansas,2.5,6,2,2
"Juneau, AK",2008-2012,27940,Alaska,1.33333337306976,2,1,1
"Kahului-Wailuku-Lahaina, HI",2008-2012,27980,Hawaii,22.5595245361328,46,17.8333339691162,23
"Kalamazoo-Portage, MI",2008-2012,28020,Michigan,237.398574829102,782,190.761901855469,219
"Kalispell, MT",2008-2012,28060,Montana,41.1805572509766,102,28,30
"Kankakee, IL",2008-2012,28100,Illinois,22.6246032714844,61,7.5,9
"Kansas City, MO-KS",2008-2012,28140,Missouri,606.915283203125,1509,479.22900390625,579
"Kapaa, HI",2008-2012,28180,Hawaii,5.83333349227905,13,2,2
"Kearney, NE",2008-2012,28260,Nebraska,19.7666664123535,38,20.6428565979004,24
"Keene, NH",2008-2012,28300,New Hampshire,48.6381301879883,129,19.1666660308838,26
"Kendallville, IN",2008-2012,28340,Indiana,10.0095243453979,23,2.66666674613953,4
"Kennett, MO",2008-2012,28380,Missouri,3.11111116409302,8,1,1
"Kennewick-Richland, WA",2008-2012,28420,Washington,205.875411987305,778,195.340484619141,230
"Kerrville, TX",2008-2012,28500,Texas,5.16666698455811,12,2.83333349227905,4
"Ketchikan, AK",2008-2012,28540,Alaska,1,1,NA,NA
"Key West, FL",2008-2012,28580,Florida,27.3527774810791,47,21.8333339691162,28
"Kill Devil Hills, NC",2008-2012,28620,North Carolina,1,1,NA,NA
"Killeen-Temple, TX",2008-2012,28660,Texas,36.2190475463867,89,30.1666679382324,39
"Kingsport-Bristol-Bristol, TN-VA",2008-2012,28700,Tennessee,235.384796142578,900,272.611114501953,283
"Kingston, NY",2008-2012,28740,New York,42.2337303161621,94,29.3333339691162,31
"Kinston, NC",2008-2012,28820,North Carolina,7.46666669845581,23,1,1
"Kirksville, MO",2008-2012,28860,Missouri,2.08333325386047,4,2,2
"Klamath Falls, OR",2008-2012,28900,Oregon,7.5,16,6.5,8
"Knoxville, TN",2008-2012,28940,Tennessee,384.939727783203,1061,340.125,409
"Kokomo, IN",2008-2012,29020,Indiana,11.1707601547241,54,1.52941179275513,10
"Laconia, NH",2008-2012,29060,New Hampshire,23.2634925842285,56,8.58333301544189,10
"La Crosse-Onalaska, WI-MN",2008-2012,29100,Wisconsin,72.2559509277344,235,13.9904766082764,28
"Lafayette, LA",2008-2012,29180,Louisiana,159.936904907227,347,88.3095245361328,105
"Lafayette-West Lafayette, IN",2008-2012,29200,Indiana,428.849212646484,1335,366.826202392578,450
"La Grande, OR",2008-2012,29260,Oregon,1,2,1,1
"LaGrange, GA",2008-2012,29300,Georgia,8.9285717010498,29,2,2
"Lake Charles, LA",2008-2012,29340,Louisiana,29.1000003814697,78,18.8125,27
"Lake City, FL",2008-2012,29380,Florida,2.92045450210571,15,NA,NA
"Lake Havasu City-Kingman, AZ",2008-2012,29420,Arizona,10.2833337783813,18,5.83333349227905,8
"Lakeland-Winter Haven, FL",2008-2012,29460,Florida,77.4384918212891,200,52.5357131958008,58
"Lamesa, TX",2008-2012,29500,Texas,1,1,1,1
"Lancaster, PA",2008-2012,29540,Pennsylvania,236.85237121582,631,163.292861938477,173
"Lansing-East Lansing, MI",2008-2012,29620,Michigan,185.514434814453,514,155.576187133789,192
"Laramie, WY",2008-2012,29660,Wyoming,52.1460304260254,122,38.7000007629395,45
"Laredo, TX",2008-2012,29700,Texas,5.33333349227905,7,7,7
"Las Cruces, NM",2008-2012,29740,New Mexico,14.573016166687,34,5.5,7
"Las Vegas, NM",2008-2012,29780,New Mexico,0.833333373069763,2,0.833333373069763,2
"Las Vegas-Henderson-Paradise, NV",2008-2012,29820,Nevada,442.761047363281,918,728.740417480469,824
"Laurel, MS",2008-2012,29860,Mississippi,1.20000004768372,3,NA,NA
"Laurinburg, NC",2008-2012,29900,North Carolina,2,4,NA,NA
"Lawrence, KS",2008-2012,29940,Kansas,116.122909545898,374,130.486145019531,175
"Lawrenceburg, TN",2008-2012,29980,Tennessee,1.41666674613953,5,NA,NA
"Lawton, OK",2008-2012,30020,Oklahoma,13.1063499450684,37,0.75,2
"Lebanon, MO",2008-2012,30060,Missouri,1.25,3,1,1
"Lebanon, PA",2008-2012,30140,Pennsylvania,27.3285713195801,75,9.66666698455811,11
"Levelland, TX",2008-2012,30220,Texas,0.75,3,1,1
"Lewisburg, PA",2008-2012,30260,Pennsylvania,5.59285736083984,21,4.16666650772095,6
"Lewiston, ID-WA",2008-2012,30300,Idaho,3.41666674613953,11,1,1
"Lewiston-Auburn, ME",2008-2012,30340,Maine,5.73333358764648,14,5,7
"Lewistown, PA",2008-2012,30380,Pennsylvania,13.7011909484863,46,2,2
"Lexington, NE",2008-2012,30420,Nebraska,1.75,4,1,1
"Lexington-Fayette, KY",2008-2012,30460,Kentucky,246.169708251953,695,266.152374267578,311
"Lima, OH",2008-2012,30620,Ohio,4.54358959197998,14,4,4
"Lincoln, IL",2008-2012,30660,Illinois,7.42500019073486,20,NA,NA
"Lincoln, NE",2008-2012,30700,Nebraska,107.544052124023,292,92.4538269042969,135
"Little Rock-North Little Rock-Conway, AR",2008-2012,30780,Arkansas,101.68571472168,277,66.1528167724609,93
"Lock Haven, PA",2008-2012,30820,Pennsylvania,6.90833377838135,31,4,4
"Logan, UT-ID",2008-2012,30860,Utah,127.909545898438,397,116.633331298828,165
"Logan, WV",2008-2012,30880,West Virginia,3.25,6,NA,NA
"Logansport, IN",2008-2012,30900,Indiana,7.16666698455811,13,4.5,5
"London, KY",2008-2012,30940,Kentucky,2.25,3,2,2
"Longview, TX",2008-2012,30980,Texas,55.7345237731934,118,35.1666679382324,44
"Longview, WA",2008-2012,31020,Washington,11.3333330154419,25,21.8333339691162,23
"Los Alamos, NM",2008-2012,31060,New Mexico,101.430595397949,340,116.159523010254,162
"Los Angeles-Long Beach-Anaheim, CA",2008-2012,31080,California,10304.7490234375,27080,10117.607421875,12058
"Louisville/Jefferson County, KY-IN",2008-2012,31140,Kentucky,401.436187744141,1215,322.682159423828,382
"Lubbock, TX",2008-2012,31180,Texas,48.1234855651855,111,44.3333320617676,57
"Ludington, MI",2008-2012,31220,Michigan,2.9952380657196,8,3,3
"Lufkin, TX",2008-2012,31260,Texas,11.2833337783813,27,5,5
"Lumberton, NC",2008-2012,31300,North Carolina,1.5,3,6,6
"Lynchburg, VA",2008-2012,31340,Virginia,119.496803283691,302,61.4523811340332,72
"Macomb, IL",2008-2012,31380,Illinois,6.29716110229492,15,9.82499980926514,12
"Macon, GA",2008-2012,31420,Georgia,26.6714286804199,55,14,14
"Madera, CA",2008-2012,31460,California,9.31904792785645,25,2.83333325386047,5
"Madison, IN",2008-2012,31500,Indiana,8.41666698455811,36,8,8
"Madison, WI",2008-2012,31540,Wisconsin,802.371215820312,2658,671.526184082031,816
"Madisonville, KY",2008-2012,31580,Kentucky,4.69999980926514,10,0.5,2
"Magnolia, AR",2008-2012,31620,Arkansas,2.75,10,NA,NA
"Malone, NY",2008-2012,31660,New York,2.57500004768372,7,2,2
"Malvern, AR",2008-2012,31680,Arkansas,0.333333343267441,1,NA,NA
"Manchester-Nashua, NH",2008-2012,31700,New Hampshire,648.959838867188,1953,435.974548339844,509
"Manhattan, KS",2008-2012,31740,Kansas,77.530158996582,247,58.75,73
"Manitowoc, WI",2008-2012,31820,Wisconsin,16.9539680480957,49,31.9761905670166,35
"Mankato-North Mankato, MN",2008-2012,31860,Minnesota,26.908332824707,63,23.533332824707,30
"Mansfield, OH",2008-2012,31900,Ohio,20.1333332061768,48,11.5,13
"Marietta, OH",2008-2012,31930,Ohio,20.5499992370605,31,15,15
"Marinette, WI-MI",2008-2012,31940,Wisconsin,21.1782054901123,49,7.5,8
"Marion, IN",2008-2012,31980,Indiana,4.83333349227905,8,2,2
"Marion, NC",2008-2012,32000,North Carolina,3.4761905670166,11,4.33333349227905,5
"Marion, OH",2008-2012,32020,Ohio,6.50396823883057,16,2.33333325386047,3
"Marquette, MI",2008-2012,32100,Michigan,11.9166669845581,28,12.5,13
"Marshall, MN",2008-2012,32140,Minnesota,5.83333349227905,13,5.85714292526245,11
"Marshall, TX",2008-2012,32220,Texas,4.11111116409302,8,3,3
"Marshalltown, IA",2008-2012,32260,Iowa,133.042861938477,234,161,162
"Martin, TN",2008-2012,32280,Tennessee,1.5,4,1.25,4
"Martinsville, VA",2008-2012,32300,Virginia,8.44841289520264,28,9.53333377838135,13
"Maryville, MO",2008-2012,32340,Missouri,2.77777791023254,6,1,2
"Mason City, IA",2008-2012,32380,Iowa,4.08571434020996,9,4,4
"Mayfield, KY",2008-2012,32460,Kentucky,0.400000005960464,2,1.39999997615814,3
"Maysville, KY",2008-2012,32500,Kentucky,2.95000004768372,5,2.20000004768372,3
"McAlester, OK",2008-2012,32540,Oklahoma,5.06666660308838,11,1.5,2
"McAllen-Edinburg-Mission, TX",2008-2012,32580,Texas,31.2760810852051,73,21.5,23
"McComb, MS",2008-2012,32620,Mississippi,1.33333337306976,2,1,1
"McPherson, KS",2008-2012,32700,Kansas,16.4333343505859,34,5.33333349227905,9
"Meadville, PA",2008-2012,32740,Pennsylvania,27.0166664123535,50,10.5,15
"Medford, OR",2008-2012,32780,Oregon,43.6027793884277,74,27.6666660308838,34
"Memphis, TN-MS-AR",2008-2012,32820,Tennessee,713.279602050781,1994,628.089721679688,773
"Menomonie, WI",2008-2012,32860,Wisconsin,5.81607151031494,19,5,5
"Merced, CA",2008-2012,32900,California,27.3261909484863,61,5.33333349227905,7
"Meridian, MS",2008-2012,32940,Mississippi,4.26666688919067,10,2,2
"Merrill, WI",2008-2012,32980,Wisconsin,7.40000009536743,18,0.666666746139526,2
"Mexico, MO",2008-2012,33020,Missouri,0.5,1,NA,NA
"Miami, OK",2008-2012,33060,Oklahoma,0.833333373069763,2,NA,NA
"Miami-Fort Lauderdale-West Palm Beach, FL",2008-2012,33100,Florida,2417.82104492188,5399,2467.68969726562,2837
"Michigan City-La Porte, IN",2008-2012,33140,Indiana,8.86111164093018,22,8,8
"Midland, MI",2008-2012,33220,Michigan,816.373168945312,3190,2408.42895507812,2646
"Midland, TX",2008-2012,33260,Texas,41.4121551513672,124,47,53
"Milledgeville, GA",2008-2012,33300,Georgia,4.91666650772095,10,NA,NA
"Milwaukee-Waukesha-West Allis, WI",2008-2012,33340,Wisconsin,1046.39379882812,2883,882.5126953125,1042
"Mineral Wells, TX",2008-2012,33420,Texas,15.75,34,12.5,13
"Minneapolis-St. Paul-Bloomington, MN-WI",2008-2012,33460,Minnesota,8171.89404296875,26630,9558.1201171875,11716
"Minot, ND",2008-2012,33500,North Dakota,1.89999997615814,4,3,4
"Missoula, MT",2008-2012,33540,Montana,34.3226203918457,83,27.2261905670166,31
"Mitchell, SD",2008-2012,33580,South Dakota,5.39166688919067,17,1.5,2
"Moberly, MO",2008-2012,33620,Missouri,3.83333349227905,6,1,1
"Mobile, AL",2008-2012,33660,Alabama,53.7031135559082,150,34.6142845153809,53
"Modesto, CA",2008-2012,33700,California,52.0198402404785,104,39.2333335876465,46
"Monroe, LA",2008-2012,33740,Louisiana,19.5109119415283,41,12.1499996185303,16
"Monroe, MI",2008-2012,33780,Michigan,104.926803588867,262,42.0944442749023,49
"Montgomery, AL",2008-2012,33860,Alabama,10.2242422103882,29,3.95000004768372,6
"Montrose, CO",2008-2012,33940,Colorado,9.28333377838135,16,12.9166669845581,17
"Morehead City, NC",2008-2012,33980,North Carolina,2.6011905670166,9,0.333333343267441,1
"Morgan City, LA",2008-2012,34020,Louisiana,6.25,13,4,4
"Morgantown, WV",2008-2012,34060,West Virginia,60.7428588867188,160,52.6666679382324,63
"Morristown, TN",2008-2012,34100,Tennessee,16.1023807525635,33,9.33333301544189,11
"Moscow, ID",2008-2012,34140,Idaho,27.4150791168213,69,22.0833339691162,24
"Moses Lake, WA",2008-2012,34180,Washington,21.7309532165527,45,16.6666660308838,18
"Moultrie, GA",2008-2012,34220,Georgia,0.875,7,NA,NA
"Mountain Home, AR",2008-2012,34260,Arkansas,0.5,2,NA,NA
"Mount Airy, NC",2008-2012,34340,North Carolina,4.82619047164917,15,2,2
"Mount Pleasant, MI",2008-2012,34380,Michigan,24.7999401092529,63,16.7333335876465,21
"Mount Pleasant, TX",2008-2012,34420,Texas,1.5,2,1,1
"Mount Sterling, KY",2008-2012,34460,Kentucky,1.16666662693024,2,1,1
"Mount Vernon, IL",2008-2012,34500,Illinois,1.25,2,1,1
"Mount Vernon, OH",2008-2012,34540,Ohio,9.17500019073486,19,9.16666698455811,12
"Mount Vernon-Anacortes, WA",2008-2012,34580,Washington,33.7869071960449,91,23.2000007629395,39
"Muncie, IN",2008-2012,34620,Indiana,28.5031147003174,60,10.1999998092651,16
"Murray, KY",2008-2012,34660,Kentucky,3.20000004768372,7,1.75,4
"Muscatine, IA",2008-2012,34700,Iowa,14.3333330154419,38,22,22
"Muskegon, MI",2008-2012,34740,Michigan,37.3971633911133,106,19.7277774810791,28
"Muskogee, OK",2008-2012,34780,Oklahoma,5.75,7,4.5,5
"Myrtle Beach-Conway-North Myrtle Beach, SC-NC",2008-2012,34820,South Carolina,19.1470241546631,52,8.75,11
"Nacogdoches, TX",2008-2012,34860,Texas,3.53333330154419,10,2.33333325386047,3
"Napa, CA",2008-2012,34900,California,52.7817459106445,128,19.9333343505859,30
"Naples-Immokalee-Marco Island, FL",2008-2012,34940,Florida,127.702056884766,241,118.916664123535,134
"Nashville-Davidson-Murfreesboro-Franklin, TN",2008-2012,34980,Tennessee,543.109558105469,1579,561.573974609375,644
"Natchez, MS-LA",2008-2012,35020,Mississippi,1.45000004768372,3,1,1
"Natchitoches, LA",2008-2012,35060,Louisiana,1,1,1,1
"New Bern, NC",2008-2012,35100,North Carolina,19.25,37,3.5,6
"Newberry, SC",2008-2012,35140,South Carolina,2.49126982688904,11,NA,NA
"New Castle, IN",2008-2012,35220,Indiana,5.32777786254883,13,6,6
"New Castle, PA",2008-2012,35260,Pennsylvania,14.6234130859375,43,15,15
"New Haven-Milford, CT",2008-2012,35300,Connecticut,1055.2919921875,3462,926.592834472656,1056
"New Orleans-Metairie, LA",2008-2012,35380,Louisiana,292.012329101562,674,288.077789306641,340
"New Philadelphia-Dover, OH",2008-2012,35420,Ohio,14.7575759887695,33,8.91666698455811,12
"Newport, OR",2008-2012,35440,Oregon,8.86666679382324,16,5,7
"Newport, TN",2008-2012,35460,Tennessee,0.5,1,NA,NA
"Newton, IA",2008-2012,35500,Iowa,8.7261905670166,23,2,2
"New Ulm, MN",2008-2012,35580,Minnesota,2.75,9,NA,NA
"New York-Newark-Jersey City, NY-NJ-PA",2008-2012,35620,New York,14928.078125,46226,17171.416015625,19337
"Niles-Benton Harbor, MI",2008-2012,35660,Michigan,55.5048828125,172,58.8333320617676,61
"Nogales, AZ",2008-2012,35700,Arizona,2.04563498497009,6,1.25,2
"Norfolk, NE",2008-2012,35740,Nebraska,10.8333330154419,15,6.5,7
"North Port-Sarasota-Bradenton, FL",2008-2012,35840,Florida,297.724670410156,609,289.274230957031,346
"North Vernon, IN",2008-2012,35860,Indiana,49.4857139587402,130,NA,NA
"North Wilkesboro, NC",2008-2012,35900,North Carolina,7.39285707473755,11,3.25,4
"Norwalk, OH",2008-2012,35940,Ohio,11.9095239639282,29,0.5,1
"Norwich-New London, CT",2008-2012,35980,Connecticut,267.994934082031,864,56.5595245361328,78
"Oak Harbor, WA",2008-2012,36020,Washington,17.082633972168,43,12.3666667938232,15
"Ocala, FL",2008-2012,36100,Florida,30.299674987793,60,13,14
"Ocean City, NJ",2008-2012,36140,New Jersey,7.27692317962646,19,3.5,6
"Odessa, TX",2008-2012,36220,Texas,7.83333349227905,20,2,2
"Ogden-Clearfield, UT",2008-2012,36260,Utah,362.686981201172,984,263.602386474609,342
"Ogdensburg-Massena, NY",2008-2012,36300,New York,28.3253974914551,95,19.0833339691162,27
"Oil City, PA",2008-2012,36340,Pennsylvania,12.2583332061768,32,6,6
"Okeechobee, FL",2008-2012,36380,Florida,2.40000009536743,5,1,1
"Oklahoma City, OK",2008-2012,36420,Oklahoma,259.3603515625,597,173.741668701172,213
"Olean, NY",2008-2012,36460,New York,36.9345245361328,68,89.1999969482422,101
"Olympia-Tumwater, WA",2008-2012,36500,Washington,65.6761932373047,173,19.6345233917236,28
"Omaha-Council Bluffs, NE-IA",2008-2012,36540,Nebraska,198.696746826172,468,191.376617431641,216
"Oneonta, NY",2008-2012,36580,New York,24.5908737182617,57,26.3928565979004,39
"Ontario, OR-ID",2008-2012,36620,Oregon,2.20000004768372,7,3,5
"Opelousas, LA",2008-2012,36660,Louisiana,5.05000019073486,10,3,3
"Orangeburg, SC",2008-2012,36700,South Carolina,4.93834495544434,21,7,7
"Orlando-Kissimmee-Sanford, FL",2008-2012,36740,Florida,763.362182617188,1809,745.957153320312,841
"Oshkosh-Neenah, WI",2008-2012,36780,Wisconsin,246.141860961914,925,694.069458007812,712
"Oskaloosa, IA",2008-2012,36820,Iowa,20.2857151031494,50,17.8333339691162,21
"Othello, WA",2008-2012,36830,Washington,1.08333337306976,4,NA,NA
"Ottawa, KS",2008-2012,36840,Kansas,2.5,4,1,2
"Ottawa-Peru, IL",2008-2012,36860,Illinois,49.7186889648438,94,54.7000007629395,60
"Ottumwa, IA",2008-2012,36900,Iowa,4.10773801803589,13,NA,NA
"Owatonna, MN",2008-2012,36940,Minnesota,37.6333351135254,85,3,4
"Owensboro, KY",2008-2012,36980,Kentucky,36.5904769897461,88,12.8333330154419,15
"Owosso, MI",2008-2012,37020,Michigan,26.1853904724121,69,6.5,11
"Oxford, MS",2008-2012,37060,Mississippi,18.3075752258301,50,13.5,15
"Oxford, NC",2008-2012,37080,North Carolina,8.27067089080811,27,3,3
"Oxnard-Thousand Oaks-Ventura, CA",2008-2012,37100,California,907.260803222656,2608,808.155639648438,959
"Ozark, AL",2008-2012,37120,Alabama,3,8,1,1
"Paducah, KY-IL",2008-2012,37140,Kentucky,11.1999998092651,22,7.5,8
"Pahrump, NV",2008-2012,37220,Nevada,2.5,3,1.5,3
"Palatka, FL",2008-2012,37260,Florida,9.7261905670166,12,9,10
"Palestine, TX",2008-2012,37300,Texas,3.72857141494751,13,2,2
"Palm Bay-Melbourne-Titusville, FL",2008-2012,37340,Florida,508.410675048828,1425,501.866668701172,579
"Pampa, TX",2008-2012,37420,Texas,1.66666674613953,6,1,1
"Panama City, FL",2008-2012,37460,Florida,18.6111106872559,31,12.6666669845581,15
"Paragould, AR",2008-2012,37500,Arkansas,3.23333334922791,8,1,1
"Paris, TN",2008-2012,37540,Tennessee,3,6,0.5,1
"Paris, TX",2008-2012,37580,Texas,1.91666674613953,5,1.83333337306976,3
"Parkersburg-Vienna, WV",2008-2012,37620,West Virginia,35.3337669372559,97,1.16666662693024,3
"Parsons, KS",2008-2012,37660,Kansas,0.683333337306976,3,NA,NA
"Payson, AZ",2008-2012,37740,Arizona,10.348484992981,17,5,7
"Pensacola-Ferry Pass-Brent, FL",2008-2012,37860,Florida,71.8468246459961,169,60.25,66
"Peoria, IL",2008-2012,37900,Illinois,628.384582519531,1868,856.133361816406,902
"Peru, IN",2008-2012,37940,Indiana,3.28333330154419,7,0.5,1
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",2008-2012,37980,Pennsylvania,6802.64990234375,21026,10221.9345703125,11237
"Phoenix-Mesa-Scottsdale, AZ",2008-2012,38060,Arizona,2371.58642578125,5978,1886.79650878906,2253
"Picayune, MS",2008-2012,38100,Mississippi,4.51388883590698,11,2.79166674613953,5
"Pierre, SD",2008-2012,38180,South Dakota,1.53571426868439,4,3.5,6
"Pine Bluff, AR",2008-2012,38220,Arkansas,1.74404764175415,5,4.36363649368286,8
"Pinehurst-Southern Pines, NC",2008-2012,38240,North Carolina,17.8041667938232,42,22.8333339691162,30
"Pittsburg, KS",2008-2012,38260,Kansas,3.68333339691162,14,9,9
"Pittsburgh, PA",2008-2012,38300,Pennsylvania,1971.50842285156,6138,1607.06213378906,1868
"Pittsfield, MA",2008-2012,38340,Massachusetts,61.6766242980957,139,27.4166660308838,33
"Plainview, TX",2008-2012,38380,Texas,2.54166674613953,6,NA,NA
"Platteville, WI",2008-2012,38420,Wisconsin,12.0023813247681,31,0.666666686534882,2
"Plattsburgh, NY",2008-2012,38460,New York,5.44166660308838,12,2,2
"Plymouth, IN",2008-2012,38500,Indiana,8.48376655578613,20,3,3
"Pocatello, ID",2008-2012,38540,Idaho,8.94999980926514,20,2.5,5
"Point Pleasant, WV-OH",2008-2012,38580,West Virginia,0.16666667163372,1,4.19999980926514,5
"Ponca City, OK",2008-2012,38620,Oklahoma,24.0658130645752,60,1.66666674613953,3
"Pontiac, IL",2008-2012,38700,Illinois,1.72619044780731,4,6,6
"Port Angeles, WA",2008-2012,38820,Washington,19.7178573608398,30,15.5,20
"Port Clinton, OH",2008-2012,38840,Ohio,9.37738132476807,28,0.892857193946838,3
"Portland-South Portland, ME",2008-2012,38860,Maine,291.604217529297,694,157.809524536133,188
"Portland-Vancouver-Hillsboro, OR-WA",2008-2012,38900,Oregon,3690.97607421875,11157,2111.73901367188,2541
"Port Lavaca, TX",2008-2012,38920,Texas,10.9575757980347,26,0.666666686534882,2
"Port St. Lucie, FL",2008-2012,38940,Florida,148.906494140625,298,98.125,115
"Portsmouth, OH",2008-2012,39020,Ohio,9.16666698455811,19,5.25,6
"Pottsville, PA",2008-2012,39060,Pennsylvania,22.3250007629395,43,18.8333339691162,21
"Prescott, AZ",2008-2012,39140,Arizona,32.7608184814453,71,24.3333339691162,29
"Price, UT",2008-2012,39220,Utah,2.86666679382324,7,2,3
